disbursed_amount,asset_cost,ltv,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,SEC.NO.OF.ACCTS,SEC.ACTIVE.ACCTS,SEC.OVERDUE.ACCTS,SEC.CURRENT.BALANCE,SEC.SANCTIONED.AMOUNT,SEC.DISBURSED.AMOUNT,PRIMARY.INSTAL.AMT,SEC.INSTAL.AMT,NEW.ACCTS.IN.LAST.SIX.MONTHS,DELINQUENT.ACCTS.IN.LAST.SIX.MONTHS,NO.OF_INQUIRIES,loan_default
62849,80079,82.42,6,1,0,0,15400,15400,0,0,0,0,0,0,0,0,0,0,0,0
55159,65808,84.94,4,3,0,24255,93303,93303,0,0,0,0,0,0,2990,0,1,0,0,1
52303,90182,59.88,2,2,0,3315,10000,3315,0,0,0,0,0,0,0,0,2,0,0,0
55948,66982,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41694,79000,54.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48908,60000,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69169,82360,84.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67369,96407,71.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65495,101264,67.84,2,2,1,71531,69900,69900,0,0,0,0,0,0,430,0,0,0,0,0
57713,69000,85.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74123,88666,84.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45849,69187,67.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63513,73479,88.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61213,73000,84.93,5,3,0,812314,940990,922150,0,0,0,0,0,0,30292,0,1,0,0,0
73123,102220,73.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31323,73741,44.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51303,68938,76.88,1,1,0,0,39000,0,0,0,0,0,0,0,0,0,0,0,0,1
58779,68509,87.58,17,1,0,51816,60000,60000,0,0,0,0,0,0,19051,0,1,0,1,1
59513,80032,76.59,2,1,0,12482,29000,29000,2,1,0,594386,688861,688861,680,0,0,1,0,1
62847,88738,73.14,5,2,0,39362,95206,95206,0,0,0,0,0,0,8975,0,1,0,8,1
57259,72532,79.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46849,62000,78.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79858,93263,87.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43694,66800,66.32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51703,68050,77.88,2,1,0,17188,17188,17188,0,0,0,0,0,0,3977,0,1,0,1,0
45549,58900,78.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58447,76545,79.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54013,78750,71.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55583,68770,82.99,1,1,0,43993,50000,50000,0,0,0,0,0,0,2446,0,0,0,0,0
63882,101699,64.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55013,71000,79.58,1,1,0,3994,11990,11990,0,0,0,0,0,0,2089,0,1,0,1,0
30800,42100,76.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55013,63804,89.34,3,2,0,90432,100000,100000,0,0,0,0,0,0,1775,0,2,0,1,0
34439,69816,51.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42794,66270,66.4,4,2,1,18872,83403,81453,0,0,0,0,0,0,25917,0,0,1,0,1
33484,66393,52.72,1,1,0,-1105,25000,25000,0,0,0,0,0,0,0,0,0,0,0,0
45340,68513,68.6,2,1,0,3533,7070,7070,0,0,0,0,0,0,2933,0,1,0,1,0
94320,185149,53.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47879,71734,69.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52478,68930,79.79,3,0,0,0,0,0,0,0,0,0,0,0,1875,0,0,0,3,1
58575,72182,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40394,75377,55.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54759,69000,80.43,2,2,0,18694,72000,72000,0,0,0,0,0,0,2415,0,0,0,0,1
63882,73655,88.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50003,73856,70.41,3,1,0,5363,10461,10461,0,0,0,0,0,0,6131,0,1,0,0,0
54213,72153,77.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65169,102550,65.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36239,48909,77.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49653,65255,77.54,1,1,0,210325,400000,400000,0,0,0,0,0,0,0,0,0,0,0,1
52578,67649,79.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53959,62910,87.9,3,2,0,8264,30989,30989,0,0,0,0,0,0,2525,0,0,0,1,0
60213,75500,80.79,3,1,2,391273,500000,500000,0,0,0,0,0,0,6372,0,0,1,0,1
58513,66368,89.65,4,2,1,64785,57900,57900,0,0,0,0,0,0,1839,0,0,0,0,0
48283,75896,67.2,1,1,0,23870,37000,37000,0,0,0,0,0,0,2387,0,0,0,0,1
27981,58745,51.07,1,0,0,0,0,0,0,0,0,0,0,0,1394,0,0,0,0,0
64627,76845,86.34,3,3,0,295715,484546,463806,0,0,0,0,0,0,0,0,1,0,0,0
54510,65644,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54894,78838,74.84,3,2,1,2861479,3164263,3164263,0,0,0,0,0,0,0,0,0,1,0,1
58159,75480,78.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29701,43000,74.42,1,1,1,76429,40000,40000,0,0,0,0,0,0,0,0,0,0,0,1
58259,102800,58.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62448,77408,83.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58509,70415,84.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37694,77740,49.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30984,69450,46.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47774,62910,79.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54000,66501,84.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52328,68304,79.06,1,1,0,32371,30000,30000,0,0,0,0,0,0,33142,0,0,0,0,0
